iter	Passed	Remaining
0	8	8579
1	15	7916
2	23	7703
3	29	7365
4	36	7316
5	43	7272
6	51	7239
7	59	7396
8	66	7290
9	73	7300
10	81	7321
11	90	7416
12	97	7374
13	104	7373
14	111	7324
15	118	7268
16	127	7371
17	134	7318
18	141	7289
19	147	7230
20	155	7226
21	161	7164
22	168	7151
23	174	7109
24	181	7076
25	189	7083
26	195	7056
27	202	7020
28	209	6999
29	217	7024
30	224	7005
31	230	6983
32	238	6988
33	244	6941
34	251	6934
35	257	6901
36	263	6858
37	270	6854
38	277	6833
39	284	6831
40	290	6803
41	297	6782
42	304	6769
43	309	6730
44	317	6739
45	324	6720
46	331	6714
47	337	6698
48	344	6679
49	351	6685
50	357	6655
51	365	6658
52	371	6642
53	379	6646
54	385	6619
55	391	6597
56	397	6580
57	403	6556
58	410	6539
59	417	6536
60	423	6526
61	431	6525
62	437	6509
63	445	6508
64	450	6481
65	457	6469
66	464	6472
67	471	6456
68	479	6464
69	486	6457
70	493	6451
71	499	6440
72	505	6423
73	513	6422
74	519	6409
75	527	6408
76	533	6394
77	539	6378
78	546	6368
79	552	6353
80	559	6348
81	565	6336
82	572	6320
83	579	6315
84	585	6302
85	592	6297
86	598	6284
87	606	6283
88	612	6274
89	619	6261
90	626	6260
91	632	6245
92	640	6249
93	647	6236
94	653	6223
95	659	6214
96	666	6201
97	673	6194
98	679	6181
99	685	6167
100	692	6163
101	698	6153
102	706	6152
103	712	6141
104	720	6138
105	726	6127
106	732	6113
107	740	6112
108	745	6096
109	753	6093
110	759	6082
111	765	6070
112	773	6069
113	779	6058
114	786	6053
115	792	6035
116	798	6022
117	805	6019
118	811	6007
119	818	6003
120	824	5991
121	831	5981
122	838	5976
123	844	5965
124	851	5961
125	857	5949
126	863	5939
127	868	5917
128	874	5906
129	881	5901
130	888	5894
131	895	5889
132	903	5892
133	911	5888
134	920	5895
135	926	5884
136	933	5879
137	939	5869
138	946	5864
139	953	5857
140	959	5847
141	967	5846
142	973	5836
143	981	5833
144	987	5821
145	994	5819
146	1001	5810
147	1007	5800
148	1014	5795
149	1020	5784
150	1028	5781
151	1034	5771
152	1040	5761
153	1048	5757
154	1054	5748
155	1061	5743
156	1067	5734
157	1073	5722
158	1081	5719
159	1087	5708
160	1095	5706
161	1101	5697
162	1107	5687
163	1114	5680
164	1120	5671
165	1128	5671
166	1135	5661
167	1142	5657
168	1148	5646
169	1154	5637
170	1163	5642
171	1170	5633
172	1177	5627
173	1183	5618
174	1190	5613
175	1197	5607
176	1204	5598
177	1210	5590
178	1216	5581
179	1224	5578
180	1230	5569
181	1237	5560
182	1243	5552
183	1249	5543
184	1257	5539
185	1263	5529
186	1269	5520
187	1276	5515
188	1283	5506
189	1290	5500
190	1296	5491
191	1303	5487
192	1310	5477
193	1316	5470
194	1324	5467
195	1330	5458
196	1338	5454
197	1344	5444
198	1350	5436
199	1357	5428
200	1363	5419
201	1370	5415
202	1377	5406
203	1384	5403
204	1391	5395
205	1397	5386
206	1404	5381
207	1411	5372
208	1418	5367
209	1424	5358
210	1431	5351
211	1437	5344
212	1443	5334
213	1451	5329
214	1457	5321
215	1464	5314
216	1470	5306
217	1476	5297
218	1484	5293
219	1490	5285
220	1497	5280
221	1504	5271
222	1510	5263
223	1518	5259
224	1524	5250
225	1531	5245
226	1537	5235
227	1543	5227
228	1550	5220
229	1556	5209
230	1563	5204
231	1569	5196
232	1575	5187
233	1583	5182
234	1589	5174
235	1596	5168
236	1602	5160
237	1608	5151
238	1616	5146
239	1622	5138
240	1629	5133
241	1636	5125
242	1644	5123
243	1650	5115
244	1657	5106
245	1664	5101
246	1670	5093
247	1677	5087
248	1683	5078
249	1690	5071
250	1696	5063
251	1703	5055
252	1710	5050
253	1717	5043
254	1723	5034
255	1729	5025
256	1735	5018
257	1743	5014
258	1749	5006
259	1756	5000
260	1763	4992
261	1769	4985
262	1777	4979
263	1783	4971
264	1790	4965
265	1796	4956
266	1802	4948
267	1809	4942
268	1815	4934
269	1823	4929
270	1829	4920
271	1835	4913
272	1842	4905
273	1848	4897
274	1855	4891
275	1861	4882
276	1868	4876
277	1874	4869
278	1881	4862
279	1889	4858
280	1895	4849
281	1903	4845
282	1909	4838
283	1915	4830
284	1922	4822
285	1930	4818
286	1937	4813
287	1943	4805
288	1950	4799
289	1957	4791
290	1963	4784
291	1971	4779
292	1977	4772
293	1985	4767
294	1991	4758
295	1998	4753
296	2005	4746
297	2011	4737
298	2018	4731
299	2024	4724
300	2032	4719
301	2038	4710
302	2044	4702
303	2051	4697
304	2058	4689
305	2065	4684
306	2072	4677
307	2078	4670
308	2085	4663
309	2091	4656
310	2099	4651
311	2105	4643
312	2112	4637
313	2118	4629
314	2125	4621
315	2133	4617
316	2139	4609
317	2146	4603
318	2152	4595
319	2160	4591
320	2167	4584
321	2174	4579
322	2181	4572
323	2187	4564
324	2196	4562
325	2203	4555
326	2210	4549
327	2216	4542
328	2223	4534
329	2230	4527
330	2236	4520
331	2243	4514
332	2249	4506
333	2256	4498
334	2262	4492
335	2269	4484
336	2277	4479
337	2283	4472
338	2290	4466
339	2297	4458
340	2303	4451
341	2310	4445
342	2316	4437
343	2323	4431
344	2329	4422
345	2336	4415
346	2343	4409
347	2349	4401
348	2356	4395
349	2363	4388
350	2369	4380
351	2376	4375
352	2382	4367
353	2390	4361
354	2396	4353
355	2402	4346
356	2408	4338
357	2415	4330
358	2422	4325
359	2428	4317
360	2435	4311
361	2442	4304
362	2448	4297
363	2455	4290
364	2461	4281
365	2467	4274
366	2474	4267
367	2480	4260
368	2488	4254
369	2494	4247
370	2501	4241
371	2507	4233
372	2514	4226
373	2521	4220
374	2527	4213
375	2534	4206
376	2540	4198
377	2546	4190
378	2553	4184
379	2560	4177
380	2567	4171
381	2573	4163
382	2581	4158
383	2587	4151
384	2593	4143
385	2601	4137
386	2607	4130
387	2615	4124
388	2621	4117
389	2627	4109
390	2634	4103
391	2640	4096
392	2648	4091
393	2655	4083
394	2661	4076
395	2667	4069
396	2673	4061
397	2680	4054
398	2686	4047
399	2693	4039
400	2699	4032
401	2705	4025
402	2713	4019
403	2719	4011
404	2725	4003
405	2732	3997
406	2738	3989
407	2745	3984
408	2751	3976
409	2758	3969
410	2764	3962
411	2770	3954
412	2777	3948
413	2784	3940
414	2790	3933
415	2797	3926
416	2803	3919
417	2810	3913
418	2816	3905
419	2822	3898
420	2829	3891
421	2835	3884
422	2843	3878
423	2849	3870
424	2855	3862
425	2862	3856
426	2868	3848
427	2875	3843
428	2882	3836
429	2889	3829
430	2895	3822
431	2901	3814
432	2908	3808
433	2914	3801
434	2921	3794
435	2927	3787
436	2934	3780
437	2941	3773
438	2947	3766
439	2954	3759
440	2960	3752
441	2966	3745
442	2974	3739
443	2980	3732
444	2987	3726
445	2994	3719
446	3000	3712
447	3008	3706
448	3014	3699
449	3021	3692
450	3028	3686
451	3035	3679
452	3041	3672
453	3047	3665
454	3055	3659
455	3061	3652
456	3069	3646
457	3075	3639
458	3081	3632
459	3088	3625
460	3094	3618
461	3103	3613
462	3109	3606
463	3115	3599
464	3122	3592
465	3128	3585
466	3137	3581
467	3144	3574
468	3151	3568
469	3158	3561
470	3165	3555
471	3172	3548
472	3178	3540
473	3185	3534
474	3191	3527
475	3199	3521
476	3206	3515
477	3213	3508
478	3219	3501
479	3225	3494
480	3233	3488
481	3239	3481
482	3246	3474
483	3252	3467
484	3258	3460
485	3266	3454
486	3272	3447
487	3280	3441
488	3286	3433
489	3292	3426
490	3298	3419
491	3305	3412
492	3312	3406
493	3318	3398
494	3324	3391
495	3331	3385
496	3337	3378
497	3344	3371
498	3350	3364
499	3356	3356
500	3364	3350
501	3370	3343
502	3377	3337
503	3383	3329
504	3389	3322
505	3397	3316
506	3403	3309
507	3411	3303
508	3417	3296
509	3424	3289
510	3430	3282
511	3435	3274
512	3442	3268
513	3448	3261
514	3454	3253
515	3461	3247
516	3467	3239
517	3474	3233
518	3480	3225
519	3487	3218
520	3494	3212
521	3500	3205
522	3507	3198
523	3513	3191
524	3519	3184
525	3526	3178
526	3532	3170
527	3539	3164
528	3546	3157
529	3552	3149
530	3558	3142
531	3564	3135
532	3570	3128
533	3576	3121
534	3582	3114
535	3590	3107
536	3596	3100
537	3602	3094
538	3609	3086
539	3615	3079
540	3623	3073
541	3629	3066
542	3636	3060
543	3642	3053
544	3648	3046
545	3656	3040
546	3662	3032
547	3668	3026
548	3675	3019
549	3681	3011
550	3688	3005
551	3694	2998
552	3701	2991
553	3707	2984
554	3713	2977
555	3720	2971
556	3726	2964
557	3733	2957
558	3739	2950
559	3746	2943
560	3753	2936
561	3759	2929
562	3766	2923
563	3772	2916
564	3778	2908
565	3785	2902
566	3791	2895
567	3798	2888
568	3804	2881
569	3810	2874
570	3817	2868
571	3824	2861
572	3831	2854
573	3837	2848
574	3843	2841
575	3851	2834
576	3857	2827
577	3864	2821
578	3870	2814
579	3877	2807
580	3883	2800
581	3890	2793
582	3897	2787
583	3903	2780
584	3911	2774
585	3917	2767
586	3923	2760
587	3930	2754
588	3937	2747
589	3944	2741
590	3950	2734
591	3956	2727
592	3963	2720
593	3969	2713
594	3977	2707
595	3983	2700
596	3989	2692
597	3996	2686
598	4002	2679
599	4010	2673
600	4016	2666
601	4022	2659
602	4029	2653
603	4036	2646
604	4044	2640
605	4050	2633
606	4057	2627
607	4064	2620
608	4070	2613
609	4076	2606
610	4083	2599
611	4090	2593
612	4096	2586
613	4104	2580
614	4111	2573
615	4117	2566
616	4125	2560
617	4131	2553
618	4139	2547
619	4145	2540
620	4152	2534
621	4159	2527
622	4165	2520
623	4173	2515
624	4180	2508
625	4188	2502
626	4194	2495
627	4201	2488
628	4207	2481
629	4213	2474
630	4221	2468
631	4227	2461
632	4235	2455
633	4241	2448
634	4248	2441
635	4255	2435
636	4261	2428
637	4269	2422
638	4276	2415
639	4283	2409
640	4289	2402
641	4295	2395
642	4303	2389
643	4310	2382
644	4317	2376
645	4323	2369
646	4329	2362
647	4337	2355
648	4343	2348
649	4349	2342
650	4355	2334
651	4361	2327
652	4368	2321
653	4374	2314
654	4382	2308
